report_year,table_number,jurisdiction,program,phase,published_count,recomputed_count,signed_difference,absolute_difference,comparison_status
2021,18,OR,SBIR,Phase II,18,20,2,2,unresolved
2021,18,OR,STTR,Phase I,9,9,0,0,exact
2021,18,OR,STTR,Phase II,5,6,1,1,unresolved
2021,18,PA,SBIR,Phase I,115,120,5,5,unresolved
2021,18,PA,SBIR,Phase II,80,74,-6,6,unresolved
2021,18,PA,STTR,Phase I,32,33,1,1,unresolved
2021,18,PA,STTR,Phase II,13,13,0,0,exact
2021,18,PR,SBIR,Phase I,2,2,0,0,exact
2021,18,PR,SBIR,Phase II,0,0,0,0,exact
2021,18,PR,STTR,Phase I,0,0,0,0,exact
2021,18,PR,STTR,Phase II,0,0,0,0,exact
2021,18,RI,SBIR,Phase I,10,12,2,2,unresolved
2021,18,RI,SBIR,Phase II,8,10,2,2,unresolved
2021,18,RI,STTR,Phase I,4,4,0,0,exact
2021,18,RI,STTR,Phase II,2,1,-1,1,unresolved
2021,18,SC,SBIR,Phase I,14,13,-1,1,unresolved
2021,18,SC,SBIR,Phase II,10,12,2,2,unresolved
2021,18,SC,STTR,Phase I,12,12,0,0,exact
2021,18,SC,STTR,Phase II,4,4,0,0,exact
2021,18,SD,SBIR,Phase I,2,2,0,0,exact
2021,18,SD,SBIR,Phase II,2,1,-1,1,unresolved
2021,18,SD,STTR,Phase I,3,2,-1,1,unresolved
2021,18,SD,STTR,Phase II,1,1,0,0,exact
2021,18,TN,SBIR,Phase I,19,21,2,2,unresolved
2021,18,TN,SBIR,Phase II,18,16,-2,2,unresolved
2021,18,TN,STTR,Phase I,12,11,-1,1,unresolved
2021,18,TN,STTR,Phase II,3,3,0,0,exact
2021,18,TX,SBIR,Phase I,206,216,10,10,unresolved
2021,18,TX,SBIR,Phase II,99,105,6,6,unresolved
2021,18,TX,STTR,Phase I,60,61,1,1,unresolved
2021,18,TX,STTR,Phase II,15,14,-1,1,unresolved
2021,18,UT,SBIR,Phase I,35,38,3,3,unresolved
2021,18,UT,SBIR,Phase II,20,22,2,2,unresolved
2021,18,UT,STTR,Phase I,19,17,-2,2,unresolved
2021,18,UT,STTR,Phase II,3,3,0,0,exact
2021,18,VA,SBIR,Phase I,184,183,-1,1,unresolved
2021,18,VA,SBIR,Phase II,134,137,3,3,unresolved
2021,18,VA,STTR,Phase I,53,52,-1,1,unresolved
2021,18,VA,STTR,Phase II,20,22,2,2,unresolved
2021,18,VT,SBIR,Phase I,9,10,1,1,unresolved
2021,18,VT,SBIR,Phase II,5,4,-1,1,unresolved
2021,18,VT,STTR,Phase I,1,1,0,0,exact
2021,18,VT,STTR,Phase II,0,0,0,0,exact
2021,18,WA,SBIR,Phase I,80,84,4,4,unresolved
2021,18,WA,SBIR,Phase II,45,42,-3,3,unresolved
2021,18,WA,STTR,Phase I,19,20,1,1,unresolved
2021,18,WA,STTR,Phase II,5,5,0,0,exact
2021,18,WI,SBIR,Phase I,32,33,1,1,unresolved
2021,18,WI,SBIR,Phase II,8,8,0,0,exact
2021,18,WI,STTR,Phase I,3,4,1,1,unresolved
2021,18,WI,STTR,Phase II,1,1,0,0,exact
2021,18,WV,SBIR,Phase I,3,2,-1,1,unresolved
2021,18,WV,SBIR,Phase II,1,1,0,0,exact
2021,18,WV,STTR,Phase I,4,4,0,0,exact
2021,18,WV,STTR,Phase II,1,1,0,0,exact
2021,18,WY,SBIR,Phase I,8,12,4,4,unresolved
2021,18,WY,SBIR,Phase II,0,1,1,1,unresolved
2021,18,WY,STTR,Phase I,2,1,-1,1,unresolved
2021,18,WY,STTR,Phase II,0,0,0,0,exact
2022,20,AK,SBIR,Phase I,2,2,0,0,exact
2022,20,AK,SBIR,Phase II,3,3,0,0,exact
2022,20,AK,STTR,Phase I,1,1,0,0,exact
2022,20,AK,STTR,Phase II,0,0,0,0,exact
2022,20,AL,SBIR,Phase I,81,82,1,1,unresolved
2022,20,AL,SBIR,Phase II,41,44,3,3,unresolved
2022,20,AL,STTR,Phase I,26,26,0,0,exact
2022,20,AL,STTR,Phase II,11,11,0,0,exact
2022,20,AR,SBIR,Phase I,13,13,0,0,exact
2022,20,AR,SBIR,Phase II,3,4,1,1,unresolved
2022,20,AR,STTR,Phase I,1,1,0,0,exact
2022,20,AR,STTR,Phase II,2,2,0,0,exact
2022,20,AZ,SBIR,Phase I,60,59,-1,1,unresolved
2022,20,AZ,SBIR,Phase II,46,46,0,0,exact
2022,20,AZ,STTR,Phase I,27,23,-4,4,unresolved
2022,20,AZ,STTR,Phase II,7,7,0,0,exact
2022,20,CA,SBIR,Phase I,594,595,1,1,unresolved
2022,20,CA,SBIR,Phase II,498,500,2,2,unresolved
2022,20,CA,STTR,Phase I,124,125,1,1,unresolved
2022,20,CA,STTR,Phase II,60,59,-1,1,unresolved
2022,20,CO,SBIR,Phase I,146,149,3,3,unresolved
2022,20,CO,SBIR,Phase II,115,121,6,6,unresolved
2022,20,CO,STTR,Phase I,39,44,5,5,unresolved
2022,20,CO,STTR,Phase II,14,15,1,1,unresolved
2022,20,CT,SBIR,Phase I,49,49,0,0,exact
2022,20,CT,SBIR,Phase II,21,21,0,0,exact
2022,20,CT,STTR,Phase I,11,12,1,1,unresolved
2022,20,CT,STTR,Phase II,3,3,0,0,exact
2022,20,DC,SBIR,Phase I,15,12,-3,3,unresolved
2022,20,DC,SBIR,Phase II,9,12,3,3,unresolved
2022,20,DC,STTR,Phase I,4,2,-2,2,unresolved
2022,20,DC,STTR,Phase II,1,2,1,1,unresolved
2022,20,DE,SBIR,Phase I,20,16,-4,4,unresolved
2022,20,DE,SBIR,Phase II,14,11,-3,3,unresolved
2022,20,DE,STTR,Phase I,9,9,0,0,exact
