report_year,jurisdiction,program,phase,published_count,recomputed_count,delta,tolerance,within_tolerance,published_dollars,recomputed_dollars,dollar_delta,classification
2021,LA,SBIR,Phase I,16,15,-1,6,True,2462587,2213558,-249029,revised_upstream
2021,LA,SBIR,Phase II,5,7,2,6,True,8571032,10294500,1723468,revised_upstream
2021,LA,STTR,Phase I,9,8,-1,6,True,1417935,1055110,-362825,revised_upstream
2021,LA,STTR,Phase II,1,1,0,6,True,840427,1680854,840427,revised_upstream
2021,MA,SBIR,Phase I,324,330,6,65,True,66357157,62987231,-3369926,revised_upstream
2021,MA,SBIR,Phase II,244,239,-5,49,True,329356818,321016246,-8340572,revised_upstream
2021,MA,STTR,Phase I,81,78,-3,16,True,15288442,15490782,202340,revised_upstream
2021,MA,STTR,Phase II,25,27,2,6,True,29355281,35211903,5856622,revised_upstream
2021,MD,SBIR,Phase I,148,156,8,30,True,32763412,33619065,855653,revised_upstream
2021,MD,SBIR,Phase II,93,99,6,19,True,138355799,131266250,-7089549,revised_upstream
2021,MD,STTR,Phase I,38,40,2,8,True,7373371,6682524,-690847,revised_upstream
2021,MD,STTR,Phase II,13,14,1,6,True,22026798,18364521,-3662277,revised_upstream
2021,ME,SBIR,Phase I,9,8,-1,6,True,1848648,1637154,-211494,revised_upstream
2021,ME,SBIR,Phase II,7,8,1,6,True,8833829,16365974,7532145,revised_upstream
2021,ME,STTR,Phase I,0,0,0,6,True,40000,0,-40000,revised_upstream
2021,ME,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2021,MH,SBIR,Phase I,0,0,0,6,True,0,0,0,exact
2021,MH,SBIR,Phase II,0,0,0,6,True,0,0,0,exact
2021,MH,STTR,Phase I,0,0,0,6,True,0,0,0,exact
2021,MH,STTR,Phase II,0,0,0,6,True,0,0,0,exact
2021,MI,SBIR,Phase I,53,50,-3,11,True,10322853,10808494,485641,revised_upstream
2021,MI,SBIR,Phase II,29,29,0,6,True,42297341,33220353,-9076988,revised_upstream
2021,MI,STTR,Phase I,18,18,0,6,True,3493610,3778159,284549,revised_upstream
